year,month,ch4,ch4_anomaly
1983.5,7,1625.98,-27.041627906973645
1983.5833333333333,8,1628.06,-27.313455149505444
1983.6666666666667,9,1638.42,-24.38310077519054
1983.75,10,1644.79,-23.069778516050974
1983.8333333333333,11,1642.61,-26.04261351052878
1983.9166666666667,12,1639.54,-28.63898117386725
1984.0,1,1638.73,-28.64836101882929
1984.0833333333333,2,1638.81,-28.33467331118436
1984.1666666666667,3,1640.86,-27.141096345522556
1984.25,4,1643.97,-24.500930232555447
1984.3333333333333,5,1643.14,-23.875404208195732
1984.4166666666667,6,1639.73,-25.03435540070268
1984.5,7,1638.0,-20.791896928933056
1984.5833333333333,8,1641.72,-19.46948869621997
1984.6666666666667,9,1650.61,-18.006352537606972
1984.75,10,1654.57,-19.101345649994755
1984.8333333333333,11,1653.79,-20.691069065183
1984.9166666666667,12,1656.21,-17.778252707778847
1985.0,1,1655.59,-17.56437592847965
1985.0833333333333,2,1652.24,-20.670693892985355
1985.1666666666667,3,1654.61,-19.153795478495113
1985.25,4,1658.2,-16.03461307835346
1985.3333333333333,5,1655.88,-16.894246279341132
1985.4166666666667,6,1650.05,-20.354210801400086
1985.5,7,1646.81,-17.752165950892504
1985.5833333333333,8,1652.26,-14.745522242932793
1985.6666666666667,9,1662.48,-11.94960430002493
1985.75,10,1667.48,-12.002912783938427
1985.8333333333333,11,1666.82,-13.489524619837312
1985.9166666666667,12,1666.06,-13.737524241690608
1986.0,1,1666.28,-12.650390838129852
1986.0833333333333,2,1666.92,-11.75671447478635
1986.1666666666667,3,1669.27,-10.256494611465769
1986.25,4,1670.81,-9.18829592415159
1986.3333333333333,5,1668.45,-10.083088350484786
1986.4166666666667,6,1664.76,-11.284066202095573
1986.5,7,1662.33,-8.002434972851916
1986.5833333333333,8,1664.39,-8.431555789647291
1986.6666666666667,9,1672.57,-7.672856062443088
1986.75,10,1678.66,-6.634479917882118
1986.8333333333333,11,1678.99,-7.147980174493341
1986.9166666666667,12,1679.12,-6.486795775602332
1987.0,1,1679.39,-5.3164057477799815
1987.0833333333333,2,1679.03,-5.412735056585689
1987.1666666666667,3,1680.01,-5.279193744436498
1987.25,4,1681.34,-4.421978769951465
1987.3333333333333,5,1681.85,-2.4419304216303317
1987.4166666666667,6,1679.98,-1.7039216027928887
1987.5,7,1675.96,-0.14270399481119966
1987.5833333333333,8,1677.17,-1.4675893363619252
1987.6666666666667,9,1685.58,-0.47610782486117387
1987.75,10,1691.56,0.4539529481739919
1987.8333333333333,11,1691.18,-0.7864357291475699
1987.9166666666667,12,1690.5,-0.9160673095138918
1988.0,1,1692.03,1.5475793425678148
1988.0833333333333,2,1692.62,2.4112443616131713
1988.1666666666667,3,1691.36,0.3081071225908545
1988.25,4,1690.11,-1.4156616157495137
1988.3333333333333,5,1689.11,-0.9407724927757499
1988.4166666666667,6,1687.15,-0.17377700349015868
1988.5,7,1686.0,4.127026983229371
1988.5833333333333,8,1689.46,5.0063771169234315
1988.6666666666667,9,1696.11,4.2406404127207225
1988.75,10,1701.11,4.192385814230192
1988.8333333333333,11,1702.85,5.055108716196173
1988.9166666666667,12,1701.92,4.6946611565745116
1989.0,1,1700.53,4.2715644329175575
1989.0833333333333,2,1701.08,5.10522377981215
1989.1666666666667,3,1702.46,5.645407989620253
1989.25,4,1703.59,6.3006555384524745
1989.3333333333333,5,1703.38,7.57038543607905
1989.4166666666667,6,1700.19,7.226367595812462
1989.5,7,1698.2,10.556757961270023
1989.5833333333333,8,1702.0,11.730343570208788
1989.6666666666667,9,1707.17,9.487388650302819
1989.75,10,1710.51,7.780818680286529
1989.8333333333333,11,1713.13,9.50665316154209
1989.9166666666667,12,1713.24,10.205389622664597
1990.0,1,1712.15,10.115549523267418
1990.0833333333333,2,1713.53,11.789203198012956
1990.1666666666667,3,1714.41,11.83270885664956
1990.25,4,1712.56,9.506972692654472
1990.3333333333333,5,1710.66,9.091543364935433
1990.4166666666667,6,1708.45,9.84651219511693
1990.5,7,1706.56,13.14648893931053
1990.5833333333333,8,1710.24,14.15431002349601
1990.6666666666667,9,1717.58,14.084136887884597
1990.75,10,1722.0,13.459251546342784
1990.8333333333333,11,1723.48,14.028197606885897
1990.9166666666667,12,1723.3,14.456118088752874
1991.0,1,1721.57,13.759534613617006
1991.0833333333333,2,1721.24,13.733182616211934
1991.1666666666667,3,1722.05,13.710009723676876
1991.25,4,1722.39,13.573289846854777
1991.3333333333333,5,1722.08,14.752701293789869
1991.4166666666667,6,1718.86,14.616656794419441
1991.5,7,1715.96,16.776219917351227
1991.5833333333333,8,1719.14,17.238276476781493
1991.6666666666667,9,1726.04,16.730885125466557
1991.75,10,1732.7,18.347684412397257
1991.8333333333333,11,1737.48,22.199742052231613
1991.9166666666667,12,1739.58,24.926846554841177
1992.0,1,1738.93,25.343519703965057
1992.0833333333333,2,1737.38,24.107162034410976
1992.1666666666667,3,1736.91,22.807310590706265
1992.25,4,1736.65,22.06960700105674
1992.3333333333333,5,1734.98,21.89385922264455
1992.4166666666667,6,1731.56,21.676801393722144
1992.5,7,1728.81,23.855950895391743
1992.5833333333333,8,1730.35,22.632242930066695
1992.6666666666667,9,1734.6,19.477633363048426
1992.75,10,1737.66,17.49611727845354
1992.8333333333333,11,1739.24,18.131286497575502
1992.9166666666667,12,1738.56,18.097575020929526
1993.0,1,1735.78,16.41750479431471
1993.0833333333333,2,1734.36,15.321141452609709
1993.1666666666667,3,1735.38,15.514611457735555
1993.25,4,1736.6,16.255924155258526
1993.3333333333333,5,1735.01,16.165017151499114
1993.4166666666667,6,1730.87,15.346945993024747
1993.5,7,1728.01,17.285681873432395
1993.5833333333333,8,1731.16,17.62620938335226
1993.6666666666667,9,1738.44,17.504381600630495
1993.75,10,1743.36,17.384550144509603
1993.8333333333333,11,1745.23,18.292830942921228
1993.9166666666667,12,1744.3,18.028303487017865
1994.0,1,1741.42,16.281489884664552
1994.0833333333333,2,1740.88,16.07512087081068
1994.1666666666667,3,1741.95,16.321912324762934
1994.25,4,1741.95,15.842241309458814
